"Year","ID","Bat_number","Distance","Species","Number_of_bats","Pinta_kolo","Height","Entrance_distance","Bunker_height","New_species","Relative_distance","Relative_height","Area","Perimeter","Volume","Entrances_number"
2024,"160",11,23.531,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.881839304452106,1,103.377,93.452,294.504,3
2024,"160",11,23.531,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.881839304452106,1,103.377,93.452,294.504,3
2024,"160",11,23.531,"Mmbra",1,"pinta",3.3,26.684,3.3,"Myotis",0.881839304452106,1,103.377,93.452,294.504,3
2024,"160",12,8.123,"Mmbra",1,"kolo",2,26.684,2.3,"Myotis",0.304414630490181,0.869565217391304,103.377,93.452,294.504,3
2024,"160",12,8.123,"Mmbra",1,"kolo",2,26.684,2.3,"Myotis",0.304414630490181,0.869565217391304,103.377,93.452,294.504,3
2024,"160",12,8.123,"Mmbra",1,"kolo",2,26.684,2.3,"Myotis",0.304414630490181,0.869565217391304,103.377,93.452,294.504,3
2024,"160",12,8.123,"Mmbra",1,"kolo",2,26.684,2.3,"Myotis",0.304414630490181,0.869565217391304,103.377,93.452,294.504,3
2024,"160",12,8.123,"Mmbra",1,"kolo",2,26.684,2.3,"Myotis",0.304414630490181,0.869565217391304,103.377,93.452,294.504,3
2024,"160",12,8.123,"Mmbra",1,"kolo",2,26.684,2.3,"Myotis",0.304414630490181,0.869565217391304,103.377,93.452,294.504,3
2024,"160",13,2.062,"Enil",1,"pinta",2,26.684,2,"Enil",0.0772747713985909,1,103.377,93.452,294.504,3
2024,"160",13,2.062,"Enil",1,"pinta",2,26.684,2,"Enil",0.0772747713985909,1,103.377,93.452,294.504,3
2024,"160",13,2.062,"Enil",1,"pinta",2,26.684,2,"Enil",0.0772747713985909,1,103.377,93.452,294.504,3
2024,"160",14,0.843,"Enil",1,"pinta",4.5,26.684,4.5,"Enil",0.0315919652226053,1,103.377,93.452,294.504,3
2024,"160",14,0.843,"Enil",1,"pinta",4.5,26.684,4.5,"Enil",0.0315919652226053,1,103.377,93.452,294.504,3
2024,"160",14,0.843,"Enil",1,"pinta",4.5,26.684,4.5,"Enil",0.0315919652226053,1,103.377,93.452,294.504,3
2024,"87",1,6.601,"Enil",1,"kolo",2,11.208,2,"Enil",0.58895431834404,1,24.631,28.62,49.262,1
2024,"87",1,6.601,"Enil",1,"kolo",2,11.208,2,"Enil",0.58895431834404,1,24.631,28.62,49.262,1
2024,"87",1,6.601,"Enil",1,"kolo",2,11.208,2,"Enil",0.58895431834404,1,24.631,28.62,49.262,1
2024,"384",1,1.501,"Enil",1,"pinta",1.7,10.657,2.2,"Enil",0.140846392042789,0.772727272727273,40.625,54.586,81.25,1
